file,source_type,class_label,denomination,year,confidence,notes
training/0000029_draped-bust-dimes.png,series_reference,Draped Bust Dime,Dime,1796-1807,high,One reference image per design era - not a single date.
training/0000030_capped-bust-dimes.png,series_reference,Capped Bust Dime,Dime,1809-1837,high,One reference image per design era - not a single date.
training/0000031_liberty-seated-dimes.png,series_reference,Seated Liberty Dime,Dime,1837-1891,high,One reference image per design era - not a single date.
training/0000032_barber-dimes.png,series_reference,Barber Dime,Dime,1892-1916,high,One reference image per design era - not a single date.
training/0000033_mercury-dimes.png,series_reference,Mercury (Winged Liberty Head) Dime,Dime,1916-1945,high,One reference image per design era - not a single date.
training/0000035_draped-bust-quarters.png,series_reference,Draped Bust Quarter,Quarter,1796-1807,high,One reference image per design era - not a single date.
training/0000036_capped-bust-quarters.png,series_reference,Capped Bust Quarter,Quarter,1815-1838,high,One reference image per design era - not a single date.
training/0000037_liberty-seated-quarters.png,series_reference,Seated Liberty Quarter,Quarter,1838-1891,high,One reference image per design era - not a single date.
training/0000038_barber-quarters.png,series_reference,Barber Quarter,Quarter,1892-1916,high,One reference image per design era - not a single date.
training/0000039_standing-liberty-quarters.png,series_reference,Standing Liberty Quarter,Quarter,1916-1930,high,One reference image per design era - not a single date.
training/0000040_flowing-hair-half-dollars.png,series_reference,Flowing Hair Half Dollar,Half Dollar,1794-1795,high,One reference image per design era - not a single date.
training/0000041_draped-bust-half-dollars.png,series_reference,Draped Bust Half Dollar,Half Dollar,1796-1807,high,One reference image per design era - not a single date.
training/0000042_capped-bust-half-dollars.png,series_reference,Capped Bust Half Dollar,Half Dollar,1807-1839,high,One reference image per design era - not a single date.
training/0000043_liberty-seated-half-dollars.png,series_reference,Seated Liberty Half Dollar,Half Dollar,1839-1891,high,One reference image per design era - not a single date.
training/0000044_barber-half-dollars.png,series_reference,Barber Half Dollar,Half Dollar,1892-1915,high,One reference image per design era - not a single date.
training/0000045_walking-liberty-half-dollars.png,series_reference,Walking Liberty Half Dollar,Half Dollar,1916-1947,high,One reference image per design era - not a single date.
training/0000046_flowing-hair-dollars.png,series_reference,Flowing Hair Dollar,Dollar,1794-1795,high,One reference image per design era - not a single date.
training/0000047_draped-bust-dollars.png,series_reference,Draped Bust Dollar,Dollar,1795-1804,high,One reference image per design era - not a single date.
training/0000048_liberty-seated-dollars.png,series_reference,Seated Liberty Dollar,Dollar,1840-1873,high,One reference image per design era - not a single date.
training/0000049_trade-dollars.png,series_reference,Trade Dollar Dollar,Dollar,1873-1885,high,One reference image per design era - not a single date.
training/0000050_morgan-dollars.png,series_reference,Morgan Dollar Dollar,Dollar,1878-1921,high,One reference image per design era - not a single date.
training/0000051_peace-dollars.png,series_reference,Peace Dollar Dollar,Dollar,1921-1935,high,One reference image per design era - not a single date.
training/1804-dollar-gold-obverse.jpg,named_reference,1804 Gold Dollar (pattern/restrike reference) (obverse),bullion/proof/commemorative product,1804,high,
training/1804-dollar-gold-reverse.jpg,named_reference,1804 Gold Dollar (pattern/restrike reference) (reverse),bullion/proof/commemorative product,1804,high,
training/1907-saint-gaudens-semiq-gold-obverse.jpg,named_reference,Saint-Gaudens $2.50 gold pattern reference (obverse),bullion/proof/commemorative product,1907,high,
training/1907-saint-gaudens-semiq-gold-reverse.jpg,named_reference,Saint-Gaudens $2.50 gold pattern reference (reverse),bullion/proof/commemorative product,1907,high,
training/2023-american-eagle-palladium-one-ounce-bullion-coin-obverse.jpg,named_reference,American Eagle Palladium Bullion (obverse),bullion/proof/commemorative product,2023,high,
training/2023-american-eagle-palladium-one-ounce-bullion-coin-reverse.jpg,named_reference,American Eagle Palladium Bullion (reverse),bullion/proof/commemorative product,2023,high,
training/2023-american-eagle-palladium-one-ounce-uncirculated-coin-obverse.jpg,named_reference,American Eagle Palladium Uncirculated (obverse),bullion/proof/commemorative product,2023,high,
training/2023-american-eagle-palladium-one-ounce-uncirculated-coin-reverse.jpg,named_reference,American Eagle Palladium Uncirculated (reverse),bullion/proof/commemorative product,2023,high,
training/2023-american-eagle-platinum-one-ounce-bullion-coin-obverse.jpg,named_reference,American Eagle Platinum Bullion (obverse),bullion/proof/commemorative product,2023,high,
training/2023-american-eagle-platinum-one-ounce-bullion-coin-reverse.jpg,named_reference,American Eagle Platinum Bullion (reverse),bullion/proof/commemorative product,2023,high,
training/2024-american-eagle-palladium-one-ounce-proof-coin-obverse.jpg,named_reference,American Eagle Palladium Proof (obverse),bullion/proof/commemorative product,2024,high,
training/2024-american-eagle-palladium-one-ounce-proof-coin-reverse.jpg,named_reference,American Eagle Palladium Proof (reverse),bullion/proof/commemorative product,2024,high,
training/2025 American Liberty 1oz Gold Obv 2000x2000.jpg,named_reference,American Liberty 1oz Gold (obverse),bullion/proof/commemorative product,2025,high,
training/2025 American Liberty 1oz Gold Rev 2000x2000.jpg,named_reference,American Liberty 1oz Gold (reverse),bullion/proof/commemorative product,2025,high,
training/2025-Batman-Gold-Proof-Coin-Obverse.jpg,named_reference,Batman Commemorative Gold Proof (obverse),bullion/proof/commemorative product,2025,high,
training/2025-Batman-Gold-Proof-Coin-Reverse.jpg,named_reference,Batman Commemorative Gold Proof (reverse),bullion/proof/commemorative product,2025,high,
training/2025-Morgan-Proof-Obverse.jpg,named_reference,Morgan Dollar Proof (modern reissue) (obverse),bullion/proof/commemorative product,2025,high,
training/2025-Morgan-Proof-Reverse.jpg,named_reference,Morgan Dollar Proof (modern reissue) (reverse),bullion/proof/commemorative product,2025,high,
training/2025-Morgan-Unc-Obverse.jpg,named_reference,Morgan Dollar Uncirculated (modern reissue) (obverse),bullion/proof/commemorative product,2025,high,
training/2025-Morgan-Unc-Reverse.jpg,named_reference,Morgan Dollar Uncirculated (modern reissue) (reverse),bullion/proof/commemorative product,2025,high,
training/2025-Peace-Proof-Obverse.jpg,named_reference,Peace Dollar Proof (modern reissue) (obverse),bullion/proof/commemorative product,2025,high,
training/2025-Peace-Proof-Reverse.jpg,named_reference,Peace Dollar Proof (modern reissue) (reverse),bullion/proof/commemorative product,2025,high,
training/2025-Peace-Unc-Obverse.jpg,named_reference,Peace Dollar Uncirculated (modern reissue) (obverse),bullion/proof/commemorative product,2025,high,
training/2025-Peace-Unc-Reverse.jpg,named_reference,Peace Dollar Uncirculated (modern reissue) (reverse),bullion/proof/commemorative product,2025,high,
training/2025-Superman-Gold-Obverse.jpg,named_reference,Superman Commemorative Gold (obverse),bullion/proof/commemorative product,2025,high,
training/2025-Superman-Gold-Reverse.jpg,named_reference,Superman Commemorative Gold (reverse),bullion/proof/commemorative product,2025,high,
training/2025-Wonder-Woman-Gold-Proof-Coin-Obverse.jpg,named_reference,Wonder Woman Commemorative Gold Proof (obverse),bullion/proof/commemorative product,2025,high,
training/2025-Wonder-Woman-Gold-Proof-Coin-Reverse.jpg,named_reference,Wonder Woman Commemorative Gold Proof (reverse),bullion/proof/commemorative product,2025,high,
training/2025-american-buffalo-one-ounce-gold-proof-coin-obverse.jpg,named_reference,American Buffalo Gold Proof (obverse),bullion/proof/commemorative product,2025,high,
training/2025-american-buffalo-one-ounce-gold-proof-coin-reverse.jpg,named_reference,American Buffalo Gold Proof (reverse),bullion/proof/commemorative product,2025,high,
training/2025-american-eagle-gold-one-ounce-proof-coin-obverse.jpg,named_reference,American Eagle Gold Proof (obverse),bullion/proof/commemorative product,2025,high,
training/2025-american-eagle-gold-one-ounce-proof-coin-reverse.jpg,named_reference,American Eagle Gold Proof (reverse),bullion/proof/commemorative product,2025,high,
training/2025-american-eagle-gold-one-ounce-uncirculated-coin-obverse.jpg,named_reference,American Eagle Gold Uncirculated (obverse),bullion/proof/commemorative product,2025,high,
training/2025-american-eagle-gold-one-ounce-uncirculated-coin-reverse.jpg,named_reference,American Eagle Gold Uncirculated (reverse),bullion/proof/commemorative product,2025,high,
training/2025-american-eagle-laser-privy-silver-proof-obverse.jpg,named_reference,American Eagle Silver Proof (Laser Privy) (obverse),bullion/proof/commemorative product,2025,high,
training/2025-american-eagle-laser-privy-silver-proof-reverse.jpg,named_reference,American Eagle Silver Proof (Laser Privy) (reverse),bullion/proof/commemorative product,2025,high,
training/2025-american-eagle-palladium-reverse-proof-obverse.jpg,named_reference,American Eagle Palladium Reverse Proof (obverse),bullion/proof/commemorative product,2025,high,
training/2025-american-eagle-palladium-reverse-proof-reverse.jpg,named_reference,American Eagle Palladium Reverse Proof (reverse),bullion/proof/commemorative product,2025,high,
training/2025-american-eagle-platinum-proof-coin-obverse.jpg,named_reference,American Eagle Platinum Proof (obverse),bullion/proof/commemorative product,2025,high,
training/2025-american-eagle-platinum-proof-coin-reverse.jpg,named_reference,American Eagle Platinum Proof (reverse),bullion/proof/commemorative product,2025,high,
training/2025-american-eagle-silver-one-ounce-uncirculated-coin-obverse.jpg,named_reference,American Eagle Silver Uncirculated (obverse),bullion/proof/commemorative product,2025,high,
training/2025-american-eagle-silver-one-ounce-uncirculated-coin-reverse.jpg,named_reference,American Eagle Silver Uncirculated (reverse),bullion/proof/commemorative product,2025,high,
training/2025-american-eagle-silver-proof-army-privy-obverse.jpg,named_reference,American Eagle Silver Proof (Army Privy) (obverse),bullion/proof/commemorative product,2025,high,
training/2025-american-eagle-silver-proof-army-privy-reverse.jpg,named_reference,American Eagle Silver Proof (Army Privy) (reverse),bullion/proof/commemorative product,2025,high,
training/2025-american-eagle-silver-proof-navy-privy-obverse.jpg,named_reference,American Eagle Silver Proof (Navy Privy) (obverse),bullion/proof/commemorative product,2025,high,
training/2025-american-eagle-silver-proof-navy-privy-reverse.jpg,named_reference,American Eagle Silver Proof (Navy Privy) (reverse),bullion/proof/commemorative product,2025,high,
training/2025-american-eagle-silver-proof-usmc-privy-obverse.jpg,named_reference,American Eagle Silver Proof (USMC Privy) (obverse),bullion/proof/commemorative product,2025,high,
training/2025-american-eagle-silver-proof-usmc-privy-reverse.jpg,named_reference,American Eagle Silver Proof (USMC Privy) (reverse),bullion/proof/commemorative product,2025,high,
training/2025-native-american-one-dollar-uncirculated-coin-obverse.jpg,named_reference,Native American $1 Uncirculated (obverse),bullion/proof/commemorative product,2025,high,
training/2025-native-american-one-dollar-uncirculated-coin-reverse.jpg,named_reference,Native American $1 Uncirculated (reverse),bullion/proof/commemorative product,2025,high,
training/AE-Gold-Enhanced-Unc-Obverse.jpg,named_reference,American Eagle Gold Enhanced Uncirculated (obverse),bullion/proof/commemorative product,,high,
training/AE-Gold-Enhanced-Unc-Reverse.jpg,named_reference,American Eagle Gold Enhanced Uncirculated (reverse),bullion/proof/commemorative product,,high,
training/AE-Silver-Enhanced-Unc-Obverse.jpg,named_reference,American Eagle Silver Enhanced Uncirculated (obverse),bullion/proof/commemorative product,,high,
training/AE-Silver-Enhanced-Unc-Reverse.jpg,named_reference,American Eagle Silver Enhanced Uncirculated (reverse),bullion/proof/commemorative product,,high,
training/AE-Silver-Proof-Obverse.jpg,named_reference,American Eagle Silver Proof (obverse),bullion/proof/commemorative product,,high,
training/AE-Silver-Proof-Reverse.jpg,named_reference,American Eagle Silver Proof (reverse),bullion/proof/commemorative product,,high,
training/American-Buffalo-Gold-Bullion-Obverse.jpg,named_reference,American Buffalo Gold Bullion (obverse),bullion/proof/commemorative product,,high,
training/American-Buffalo-Gold-Bullion-Reverse.jpg,named_reference,American Buffalo Gold Bullion (reverse),bullion/proof/commemorative product,,high,
training/American-Buffalo-Proof-Gold-Obverse.jpg,named_reference,American Buffalo Gold Proof (obverse),bullion/proof/commemorative product,,high,
training/American-Buffalo-Proof-Gold-Reverse.jpg,named_reference,American Buffalo Gold Proof (reverse),bullion/proof/commemorative product,,high,
training/American-Eagle-Gold-Bullion-1oz-Obverse.jpg,named_reference,American Eagle Gold Bullion (1oz) (obverse),bullion/proof/commemorative product,,high,
